,alpha,tol,r2,RMSE,MSE,cv,time
0,0.008531678524172814,9.501185073181438e-05,0.6108876783939197,0.07947240896495848,0.006315863786693614,10.0,2.9089861550000933
1,0.008531678524172814,0.026437611857491012,0.6113195991590608,0.07942828890937186,0.006308853079070644,10.0,2.90020923800148
2,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9056534149985964
3,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9135052780002297
4,0.006461670787466976,0.026437611857491012,0.6530528057604849,0.07504306707178758,0.00563146191554081,10.0,2.8739822290008306
5,0.008531678524172814,0.026437611857491012,0.6113195991590608,0.07942828890937186,0.006308853079070644,10.0,2.9962444079992565
6,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,3.1134829960010393
7,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.883129342000757
8,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.87673545799953
9,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,3.1657295810000505
10,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.953003914999499
11,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.903438768000342
12,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.8713604050008144
13,0.008531678524172814,0.008576958985908946,0.6110101062832637,0.07945990562827503,0.006313876602454374,10.0,2.914174991001346
14,0.0021261123338996556,0.026437611857491012,0.7731774086337582,0.06067671212681719,0.0036816633945206444,10.0,2.9585831980002695
15,0.011264816923358867,0.08149127469020749,0.5444043574028739,0.0859941022039596,0.00739498561386505,10.0,2.919502532000479
16,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.8965112660007435
17,0.008531678524172814,0.08149127469020749,0.6115181724084102,0.07940799672537605,0.006305629943937333,10.0,3.0474416260003636
18,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9029393999990134
19,0.0028072162039411755,0.008576958985908946,0.7543131620415242,0.06314948764286565,0.003987857789556441,10.0,2.9501112300004024
20,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9026074489993334
21,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9189494019992708
22,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.9366376219986705
23,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.8785385570008657
24,0.008531678524172814,0.026437611857491012,0.6113195991590608,0.07942828890937186,0.006308853079070644,10.0,2.900012046999109
25,0.008531678524172814,0.026437611857491012,0.6113195991590608,0.07942828890937186,0.006308853079070644,10.0,2.916629250999904
26,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9112291210003605
27,0.011264816923358867,0.251188643150958,0.5442254727104402,0.08601098287333749,0.0073978891748375545,10.0,2.9048492160000023
28,0.008531678524172814,0.251188643150958,0.6107973287967987,0.07948163494287801,0.006317330293192927,10.0,2.8812061179996817
29,0.008531678524172814,1e-05,0.6108862890766444,0.0794725508421055,0.0063158863373510435,10.0,2.902878195000085
