,alpha,tol,r2,RMSE,MSE,cv,time
0,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.9457231830001547
1,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.9162283209989255
2,0.0004012807031942776,0.08149127469020749,0.8214634454108618,3.293686379862543,10.848369968892024,10.0,2.8891994650002744
3,0.0006995642156712634,0.08149127469020749,0.8214261702624253,3.294030192482588,10.850634908986876,10.0,2.8844004300008237
4,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.856845276999593
5,0.07880462815669913,0.026437611857491012,0.8174007944387379,3.33094997970453,11.095227767293608,10.0,2.9662526230004005
6,0.02592943797404667,0.026437611857491012,0.8188044925774549,3.3181222437455165,11.00993522443878,10.0,2.8963110330005293
7,0.03423597957607583,0.026437611857491012,0.8183621801873017,3.3221696730467367,11.03681133651146,10.0,2.9001180269988254
8,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.877143690000594
9,0.00017433288221999874,0.0027825594022071257,0.8214779058457455,3.2935529923274993,10.847491313269424,10.0,2.8579248589994677
10,0.0028072162039411755,0.008576958985908946,0.8214411545718521,3.293891986892168,10.849724421312432,10.0,2.8624154530007218
11,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.8985935839991726
12,0.05968456995122311,0.026437611857491012,0.8176324393151451,3.328836491967873,11.081152390256976,10.0,2.9694985059995815
13,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.9218855569997686
14,0.0021261123338996556,0.026437611857491012,0.821457419828944,3.293741960104048,10.848736099750058,10.0,2.883661319001476
15,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.885184736998781
16,0.0009236708571873865,0.08149127469020749,0.8213727044554558,3.2945232792972283,10.853883637831364,10.0,2.9014242849989387
17,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.8968002710007568
18,0.0012195704601594415,0.08149127469020749,0.8212257019771072,3.295878625036673,10.86281591097363,10.0,2.8962483320010506
19,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.8803150539988565
20,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.8970976600012364
21,0.011264816923358867,0.026437611857491012,0.8208091022726256,3.299716601445069,10.888129649852196,10.0,2.9370189599994774
22,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.86803996800154
23,0.014873521072935119,0.026437611857491012,0.8202424527692873,3.3049297761695335,10.922560825412004,10.0,2.875551954999537
24,0.04520353656360245,0.026437611857491012,0.8177574775677802,3.3276951067693727,11.073554723616828,10.0,2.8667568339988065
25,0.02592943797404667,0.026437611857491012,0.8188044925774549,3.3181222437455165,11.00993522443878,10.0,2.9193116210008156
26,0.0001,0.0009027251779484579,0.8214780292558905,3.2935518539308077,10.847483814531062,10.0,2.8726634649992775
27,0.0028072162039411755,1e-05,0.8214347391284419,3.2939511595077358,10.850114241222355,10.0,2.873931956999513
28,0.05968456995122311,0.026437611857491012,0.8176324393151451,3.328836491967873,11.081152390256976,10.0,2.914487817999543
29,0.0004012807031942776,0.08149127469020749,0.8214634454108618,3.293686379862543,10.848369968892024,10.0,2.8831301760001224
