,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.08,190.0,0.9836127097485479,1.1761835611969125,1.3834077696298512,10.0,132.15376103600101
1,0.07,180.0,0.9797502605167189,1.3074685539073498,1.7094740194565765,10.0,131.99654723399908
2,0.06000000000000001,190.0,0.977789374014456,1.3693104789090818,1.8750111876502187,10.0,132.5149573430008
3,0.09000000000000001,130.0,0.9788995597029541,1.334649693581163,1.781289804576292,10.0,132.70799153100052
4,0.09000000000000001,180.0,0.9849995047271671,1.1253155793177365,1.2663351530552127,10.0,132.92740248500013
5,0.1,180.0,0.9874243489294753,1.0303547358791063,1.061630881748503,10.0,133.93782906899833
6,0.08,180.0,0.982606629271577,1.2117510622867658,1.4683406369531053,10.0,133.811565162001
7,0.09000000000000001,160.0,0.9831334694639753,1.1932581538567497,1.4238650217456184,10.0,133.40311550800106
8,0.07,190.0,0.9807250119235649,1.2756119858044748,1.6271859383280356,10.0,133.6790830379996
9,0.07,190.0,0.9807250119235649,1.2756119858044748,1.6271859383280354,10.0,134.72249556099996
10,0.1,170.0,0.9865317613944573,1.066293920682869,1.1369827252852447,10.0,134.651588404
11,0.1,140.0,0.9828609055130798,1.2028610682470304,1.446874749504387,10.0,134.57835134699963
12,0.09000000000000001,190.0,0.986013415785429,1.086619175026338,1.1807412315349195,10.0,134.19136394999987
13,0.1,190.0,0.9882676270488996,0.9952093835924651,0.9904417171904945,10.0,135.7352339299996
14,0.1,170.0,0.9865317613944573,1.066293920682869,1.1369827252852447,10.0,133.97846764899987
15,0.08,170.0,0.9813982144914133,1.2531378520925305,1.570354476347081,10.0,133.55111106000004
16,0.07,190.0,0.9807250119235649,1.2756119858044748,1.6271859383280354,10.0,133.9375191199997
17,0.1,180.0,0.9874243489294753,1.030354735879106,1.0616308817485025,10.0,132.93920551500014
18,0.08,190.0,0.9836127097485479,1.1761835611969125,1.3834077696298512,10.0,139.3695464100001
19,0.09000000000000001,170.0,0.9842361418359595,1.153593476713978,1.3307779095170433,10.0,158.7893997809988
20,0.06000000000000001,180.0,0.9768524197375518,1.3978942920854553,1.9541084518450962,10.0,143.3075543979994
21,0.1,170.0,0.9865317613944573,1.066293920682869,1.1369827252852447,10.0,133.77535324900055
22,0.1,190.0,0.9882676270488997,0.995209383592465,0.9904417171904942,10.0,137.50373664200015
23,0.09000000000000001,190.0,0.986013415785429,1.0866191750263379,1.180741231534919,10.0,135.9221825879995
24,0.09000000000000001,190.0,0.9860134157854289,1.0866191750263383,1.18074123153492,10.0,140.66603540300093
25,0.08,180.0,0.982606629271577,1.211751062286766,1.4683406369531058,10.0,138.9388008570004
26,0.08,190.0,0.9836127097485479,1.1761835611969123,1.3834077696298508,10.0,140.76042444700033
27,0.07,190.0,0.9807250119235649,1.2756119858044748,1.6271859383280356,10.0,133.99569219599834
28,0.08,190.0,0.9836127097485479,1.1761835611969125,1.383407769629851,10.0,135.58516556500035
29,0.07,190.0,0.9807250119235649,1.2756119858044748,1.6271859383280356,10.0,140.95099402199958
