,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.08,150.0,0.6066245505732534,0.07990657422893446,0.006385060605004214,10.0,11.246051567002723
1,0.08,120.0,0.5930375507221597,0.08127482724676652,0.00660559754399174,10.0,11.442829244999302
2,0.09000000000000001,140.0,0.6117518404560056,0.07938411156362647,0.006301837168746293,10.0,13.671403822001594
3,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,15.888564703000156
4,0.06000000000000001,110.0,0.571608167700264,0.08338721644352512,0.006953427866199306,10.0,12.572764682001434
5,0.1,180.0,0.6306062637318595,0.07743256563323746,0.005995802220545626,10.0,13.315529961997527
6,0.09000000000000001,130.0,0.6071317977360906,0.07985503891080904,0.006376827239446827,10.0,12.962829864998639
7,0.09000000000000001,190.0,0.627032020228875,0.07780628146765331,0.006053817435823691,10.0,13.097489058000065
8,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,12.838828600997658
9,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,12.860817511998903
10,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,13.193139073002385
11,0.09000000000000001,170.0,0.6216922104801503,0.0783612811359134,0.006140490381261657,10.0,13.159018713999103
12,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,13.130704220999178
13,0.08,180.0,0.6172633601641762,0.07881863433717415,0.006212377118777168,10.0,13.072336986002483
14,0.06000000000000001,150.0,0.5903718969145114,0.08154057281906882,0.0066488650156618645,10.0,12.899537405002775
15,0.08,180.0,0.6172633601641762,0.07881863433717415,0.006212377118777168,10.0,13.285368931999983
16,0.07,100.0,0.5737275367426696,0.08318069125488012,0.006919027397639691,10.0,12.933987486998376
17,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,13.223300894002023
18,0.1,120.0,0.6102601012834605,0.07953647140663535,0.006326050283818521,10.0,13.121155930999521
19,0.08,190.0,0.6200378393034125,0.07853243439709741,0.006167343252334409,10.0,12.814044425998873
20,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,13.140560300998914
21,0.08,180.0,0.6172633601641762,0.07881863433717415,0.006212377118777168,10.0,12.731543843998224
22,0.09000000000000001,150.0,0.6148314554992753,0.07906864422110052,0.006251850498962972,10.0,13.270911543000693
23,0.05000000000000001,100.0,0.5540374262752854,0.08508011973938122,0.007238626774867445,10.0,13.188895177998347
24,0.1,190.0,0.6327456221479277,0.07720801315361067,0.005961077295128118,10.0,12.892824692000431
25,0.06000000000000001,180.0,0.6002121283641733,0.08055522096139413,0.006489143624139032,10.0,13.097226259997115
26,0.07,180.0,0.6079640539855635,0.07977041117884714,0.006363318499642341,10.0,12.849532144999102
27,0.08,100.0,0.5822550871171563,0.0823444761086018,0.006780612745600092,10.0,12.97906585599776
28,0.08,160.0,0.6105642596448513,0.0795054296726271,0.006321113347429053,10.0,13.248390941000252
29,0.09000000000000001,190.0,0.627032020228875,0.07780628146765331,0.006053817435823691,10.0,13.065171198999451
