,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.07,140.0,0.995371749583678,0.5303066749462151,0.28122516949251064,5.0,248.82098060299904
1,0.08,130.0,0.9953655789150786,0.5306600759569471,0.2816001162146329,5.0,252.66758271900108
2,0.05000000000000001,180.0,0.9936503467131571,0.6211459746853601,0.385822321867826,5.0,261.24593911400007
3,0.06000000000000001,160.0,0.9944625635070413,0.5800601738290443,0.336469805262581,5.0,257.12244930499946
4,0.09000000000000001,190.0,0.9987608898619867,0.2743933767737919,0.07529172521732411,5.0,253.4962452380023
5,0.07,100.0,0.9920192118020288,0.6963724189231232,0.4849345458368418,5.0,253.11515943099948
6,0.09000000000000001,120.0,0.996468803902418,0.46321177107873784,0.21456514486590103,5.0,253.65218391600138
7,0.09000000000000001,120.0,0.996468803902418,0.46321177107873784,0.21456514486590103,5.0,255.40846727299868
8,0.030000000000000006,190.0,0.9880666756320396,0.8515288998722746,0.7251014673176863,5.0,254.39618001499912
9,0.030000000000000006,190.0,0.9880666756320396,0.8515288998722746,0.7251014673176863,5.0,255.9611560810008
10,0.06000000000000001,190.0,0.9962960544541802,0.47440686589174225,0.22506187440522551,5.0,255.67130124199684
11,0.04000000000000001,140.0,0.988194397776943,0.8469596920949882,0.7173407200336372,5.0,254.83666139400157
12,0.07,100.0,0.9920192118020288,0.6963724189231232,0.4849345458368418,5.0,254.1412707169984
13,0.1,150.0,0.9980181646974455,0.3470183570430558,0.12042174012486175,5.0,253.95558746800089
14,0.07,190.0,0.9979096041833065,0.35639609180047543,0.12701817425065293,5.0,254.9954560940023
