,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.01,160.0,0.7913921758063545,0.05818944065049294,0.00338601100321724,5.0,238.75380127399694
1,0.020000000000000004,140.0,0.9539206948613117,0.02734839516835377,0.0007479347182844357,5.0,244.81974801299657
2,0.04000000000000001,120.0,0.9887434936624702,0.013517011894374771,0.00018270961055266905,5.0,240.88873020200117
3,0.030000000000000006,100.0,0.9619909597408944,0.024838326848653974,0.0006169424806405649,5.0,241.68199725999875
4,0.020000000000000004,120.0,0.9274058825709546,0.03432650604959228,0.0011783090175726957,5.0,242.0652875129963
5,0.01,140.0,0.7229971288538832,0.06705343352239806,0.0044961629471426574,5.0,242.93124287299725
6,0.08,110.0,0.9940423356288043,0.009833698811762286,9.670163232045501e-05,5.0,244.4512981959997
7,0.020000000000000004,110.0,0.9073798378308378,0.03877320080731749,0.001503361100844566,5.0,239.55708973400033
8,0.030000000000000006,100.0,0.9619909597408944,0.024838326848653974,0.0006169424806405649,5.0,240.08170465200237
9,0.020000000000000004,120.0,0.9274058825709546,0.03432650604959228,0.0011783090175726957,5.0,238.990826664005
10,0.030000000000000006,100.0,0.9619909597408944,0.024838326848653974,0.0006169424806405649,5.0,239.95129801700386
11,0.01,190.0,0.8616166604213995,0.04739371901782715,0.002246164602340751,5.0,241.51280785400013
12,0.01,150.0,0.759926661748976,0.06242389329895854,0.0038967424545997605,5.0,242.9413038759958
13,0.020000000000000004,140.0,0.9539206948613117,0.02734839516835377,0.0007479347182844357,5.0,245.83358102900092
14,0.020000000000000004,110.0,0.9073798378308378,0.03877320080731749,0.001503361100844566,5.0,240.17819823299942
