,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.07,110.0,0.9691492331270878,0.022377515563111443,0.0005007532027772949,10.0,31.639968716000112
1,0.04000000000000001,180.0,0.9675882496101219,0.022936657453457184,0.000526090255137233,10.0,31.599522229000286
2,0.05000000000000001,110.0,0.9601898154225825,0.025420025474209074,0.0006461776951094383,10.0,32.802180603000124
3,0.07,100.0,0.9673257350599493,0.02302935629541954,0.0005303512513813797,10.0,34.4935521819998
4,0.04000000000000001,130.0,0.9580650044997976,0.02608958591795891,0.0006806664933705598,10.0,33.08506470100019
5,0.1,100.0,0.974315495372895,0.0204180603362957,0.0004168971878966118,10.0,33.008410737000304
6,0.1,130.0,0.9787781017605292,0.018559702040164917,0.00034446253981970177,10.0,31.966477232000216
7,0.07,130.0,0.9728278018300183,0.021001062746075494,0.0004410446364646,10.0,31.88944546699986
8,0.07,110.0,0.9691492331270877,0.022377515563111454,0.0005007532027772953,10.0,31.853965104000054
9,0.07,130.0,0.9728278018300183,0.021001062746075494,0.0004410446364646,10.0,31.96645087500019
10,0.04000000000000001,140.0,0.960827991787958,0.02521545471588201,0.0006358191565286964,10.0,32.214649984999596
11,0.09000000000000001,120.0,0.9758275474809412,0.01980793689618397,0.00039235436408320627,10.0,31.99750863099962
12,0.09000000000000001,100.0,0.9733046472507498,0.020815973092299128,0.0004333047357793213,10.0,31.975531025000237
13,0.04000000000000001,180.0,0.9675882496101219,0.02293665745345718,0.0005260902551372328,10.0,31.954523977000463
14,0.07,110.0,0.9691492331270877,0.022377515563111457,0.0005007532027772954,10.0,32.10247509599867
15,0.08,100.0,0.9720816882380027,0.021287441240596925,0.0004531551545718668,10.0,31.90356594699915
16,0.04000000000000001,150.0,0.9630053203292143,0.024504650992806264,0.000600477920279241,10.0,32.11762207399988
17,0.05000000000000001,100.0,0.9574023949962545,0.026294897178461688,0.0006914216176258724,10.0,32.20824633600023
18,0.1,110.0,0.9754297070695372,0.019970275350404233,0.00039881189757096287,10.0,32.52529630199933
19,0.06000000000000001,130.0,0.9697071809358256,0.02217423936377062,0.0004916968913617945,10.0,31.92154335899977
20,0.06000000000000001,120.0,0.9679754101474968,0.022799255945573645,0.0005198060716717751,10.0,32.235284508000404
21,0.09000000000000001,190.0,0.9859250868174487,0.015114777143574436,0.0002284564880999202,10.0,32.64006101599989
22,0.07,120.0,0.9716282957938561,0.021459598762393124,0.00046051437904290457,10.0,32.013061398998616
23,0.06000000000000001,110.0,0.9658900072807933,0.023529879289388135,0.0005536552193731766,10.0,32.0695909799997
24,0.05000000000000001,120.0,0.9630752524884992,0.024481479096396457,0.0005993428187472966,10.0,32.009057854000275
25,0.05000000000000001,130.0,0.9648559011064818,0.02388389163350202,0.0005704402795608678,10.0,32.920288105999134
26,0.08,140.0,0.9786553161044085,0.018613315963002114,0.0003464555311385493,10.0,32.34744732699983
27,0.06000000000000001,110.0,0.9658900072807933,0.023529879289388135,0.0005536552193731766,10.0,32.166088140000284
28,0.04000000000000001,130.0,0.9580650044997975,0.026089585917958926,0.0006806664933705607,10.0,32.22497546199884
29,0.07,150.0,0.9758244747675185,0.0198091958122879,0.00039240423872956444,10.0,31.996130817999074
