,learning_rate,n_estimators,r2,RMSE,MSE,cv,time
0,0.07,190.0,0.9749898734788547,1.2327545482429079,1.519683776213576,10.0,35.68615233200035
1,0.1,190.0,0.9827196558888017,1.0246955789023164,1.0500010294219533,10.0,42.23373173299842
2,0.1,180.0,0.9816677749372087,1.0554222835225984,1.1139161965560562,10.0,34.27932791799685
3,0.07,190.0,0.9749898734788547,1.2327545482429079,1.519683776213576,10.0,33.66167975400094
4,0.1,160.0,0.9792750811636135,1.1221866255189357,1.259302822493576,10.0,33.95465148000221
5,0.09000000000000001,140.0,0.9740067383065799,1.2567504770398743,1.5794217615399515,10.0,34.02296340199973
6,0.08,120.0,0.9661883271208329,1.4333491673189642,2.054489835453968,10.0,33.738416592997964
7,0.09000000000000001,180.0,0.9796970959747474,1.1107025015303895,1.233660046905865,10.0,33.79413762799959
8,0.09000000000000001,190.0,0.9808572252020741,1.0785023959669833,1.1631674181065235,10.0,33.86053552299927
9,0.08,180.0,0.975673139498112,1.2157987752086803,1.4781666617989269,10.0,33.44793703400137
10,0.1,160.0,0.9792750811636135,1.1221866255189357,1.259302822493576,10.0,33.731143376000546
11,0.1,190.0,0.9827196558888017,1.0246955789023164,1.0500010294219533,10.0,33.715730607000296
12,0.07,180.0,0.9736509646478482,1.265321912917868,1.6010395433101328,10.0,34.041802248997556
13,0.07,190.0,0.9749898734788547,1.2327545482429079,1.519683776213576,10.0,34.256984589999774
14,0.07,150.0,0.969671177279478,1.3575206525981236,1.8428623222304354,10.0,34.27433910699983
15,0.1,130.0,0.9746917932785784,1.240079007748216,1.5377959454577999,10.0,33.63303066099979
16,0.07,190.0,0.9749898734788547,1.2327545482429079,1.519683776213576,10.0,33.33649517500089
17,0.09000000000000001,180.0,0.9796970959747474,1.1107025015303895,1.233660046905865,10.0,34.09815732900097
18,0.1,190.0,0.9827196558888017,1.0246955789023164,1.0500010294219533,10.0,34.17882864099738
19,0.09000000000000001,180.0,0.9796970959747474,1.1107025015303895,1.233660046905865,10.0,34.1685339809992
20,0.1,190.0,0.9827196558888017,1.0246955789023164,1.0500010294219533,10.0,34.17851962899658
21,0.1,180.0,0.9816677749372087,1.0554222835225984,1.1139161965560562,10.0,33.46810954399916
22,0.07,170.0,0.9723667950104462,1.2957890287786633,1.6790692071031517,10.0,33.90845564699703
23,0.08,190.0,0.976717412504034,1.1894174096076242,1.4147137742777107,10.0,34.056262052999955
24,0.09000000000000001,190.0,0.9808572252020741,1.0785023959669833,1.1631674181065235,10.0,42.42395988200224
25,0.09000000000000001,190.0,0.9808572252020741,1.0785023959669833,1.1631674181065235,10.0,38.726773062000575
26,0.08,190.0,0.976717412504034,1.1894174096076242,1.4147137742777107,10.0,38.488372350002464
27,0.1,190.0,0.9827196558888017,1.0246955789023164,1.0500010294219533,10.0,34.632844051000575
28,0.09000000000000001,150.0,0.9756441548278927,1.2165228521216918,1.4799278497342954,10.0,34.98937284500062
29,0.1,180.0,0.9816677749372087,1.0554222835225984,1.1139161965560562,10.0,43.25039601900062
