,alpha,tol,r2,RMSE,MSE,cv,time
0,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3083629020002263
1,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.31106208700020943
2,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.2981260619999375
3,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.30589976699957333
4,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.30400680799994007
5,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.2989986880002107
6,0.0012339655172413793,0.0001,0.8214697027312049,3.293628661062547,10.847989756972666,10.0,0.3049265320005361
7,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.30506923899974936
8,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3058435120001377
9,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.30253147300027194
10,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.29742381399955775
11,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3075306549999368
12,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3120467440003267
13,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3086319789999834
14,0.001231206896551724,0.0001,0.8214697400399759,3.2936283169157954,10.847987489989576,10.0,0.30942178099940065
15,0.0012344827586206896,0.0001,0.8214696957265439,3.2936287256755348,10.847990182595048,10.0,0.30454411700065975
16,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3079576720001569
17,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3034480940004869
18,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.30099327100015216
19,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3029405500001303
20,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3031294499996875
21,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3037394389994006
22,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3048547790003795
23,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.301800557000206
24,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.30941840299965406
25,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3070125040003404
26,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3121975260000909
27,0.00123,0.0001,0.8214697563363896,3.2936281665930123,10.847986499774848,10.0,0.3108409880005638
28,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3131517440006064
29,0.001235,0.0001,0.8214696887189568,3.2936287903155135,10.847990608395232,10.0,0.3084473640001306
